ssn,name,address,phonenumber,temp,0,temp
3009907461,William Carillo,Fellsmúli 1,8998801,temp,1,temp
2910858778,Virginia Ho,Fellsmúli 2,8998802,temp,1,temp
2706838569,Gerard Nelson,Fellsmúli 3,8998803,temp,1,temp
2209955782,Allen Ley,Fellsmúli 4,8998804,temp,1,temp
2907675667,Felecia Moye,Fellsmúli 5,8998805,temp,1,temp
1309797899,Tyler Anderson,Fellsmúli 6,8998806,temp,1,temp
2410876598,Nan Gage,Fellsmúli 7,8998807,temp,1,temp
2211658134,Charla Johnson,Fellsmúli 8,8998808,temp,1,temp
2504939263,Sam Preciado,Fellsmúli 9,8998809,temp,1,temp
1900769521,Jasmine Hagadone,Fellsmúli 10,8998810,temp,1,temp
2500812671,Anna Phillips,Fellsmúli 11,8998811,temp,1,temp
1309927223,Patricia Bates,Fellsmúli 12,8998812,temp,1,temp
1600904199,Sherry Walker,Fellsmúli 13,8998813,temp,0,temp
0303758167,Margarita Fischer,Fellsmúli 14,8998814,temp,0,temp
2200763823,Judith Aleshire,Fellsmúli 15,8998815,temp,0,temp
1308941169,Jacob Blecha,Fellsmúli 16,8998816,temp,0,temp
1405853585,Lula Stefani,Fellsmúli 17,8998817,temp,0,temp
0909862878,Richard Sanders,Fellsmúli 18,8998818,temp,0,temp
1811931544,John Kline,Fellsmúli 19,8998819,temp,0,temp
0409858797,Evelyn Pickhardt,Fellsmúli 20,8998820,temp,0,temp
3002688722,Stacey Henrickson,Fellsmúli 21,8998821,temp,0,temp
3003962187,Delores Whitfield,Fellsmúli 22,8998822,temp,0,temp
1311772221,Maribel Lucero,Fellsmúli 23,8998823,temp,0,temp
2509913418,Katherine Wernimont,Fellsmúli 24,8998824,temp,0,temp
1103647756,Wilma Horne,Fellsmúli 25,8998825,temp,0,temp
2807755841,Bernard Carr,Fellsmúli 26,8998826,temp,0,temp
0409907212,Sara Davis,Fellsmúli 27,8998827,temp,0,temp
1103912131,Robert Swope,Fellsmúli 28,8998828,temp,0,temp
2801645554,John Iversen,Fellsmúli 29,8998829,temp,0,temp
1501681497,Rhonda Forman,Fellsmúli 30,8998830,temp,0,temp
1811813379,Melissa Paquette,Fellsmúli 31,8998831,temp,0,temp
0505942924,Carlton Chan,Fellsmúli 32,8998832,temp,0,temp
1110732819,Arthur Karr,Fellsmúli 33,8998833,temp,0,temp
2602806942,Teresa Thruman,Fellsmúli 34,8998834,temp,0,temp
1107951952,Elizabeth Mcfadden,Fellsmúli 35,8998835,temp,0,temp
ssn,name,address,phonenumber,temp,0,temp
3009907461,William Carillo,Fellsmúli 1,8998801,temp,1,temp
2910858778,Virginia Ho,Fellsmúli 2,8998802,temp,1,temp
2706838569,Gerard Nelson,Fellsmúli 3,8998803,temp,1,temp
2209955782,Allen Ley,Fellsmúli 4,8998804,temp,1,temp
2907675667,Felecia Moye,Fellsmúli 5,8998805,temp,1,temp
1309797899,Tyler Anderson,Fellsmúli 6,8998806,temp,1,temp
2410876598,Nan Gage,Fellsmúli 7,8998807,temp,1,temp
2211658134,Charla Johnson,Fellsmúli 8,8998808,temp,1,temp
2504939263,Sam Preciado,Fellsmúli 9,8998809,temp,1,temp
1900769521,Jasmine Hagadone,Fellsmúli 10,8998810,temp,1,temp
2500812671,Anna Phillips,Fellsmúli 11,8998811,temp,1,temp
1309927223,Patricia Bates,Fellsmúli 12,8998812,temp,1,temp
1600904199,Sherry Walker,Fellsmúli 13,8998813,temp,0,temp
0303758167,Margarita Fischer,Fellsmúli 14,8998814,temp,0,temp
2200763823,Judith Aleshire,Fellsmúli 15,8998815,temp,0,temp
1308941169,Jacob Blecha,Fellsmúli 16,8998816,temp,0,temp
1405853585,Lula Stefani,Fellsmúli 17,8998817,temp,0,temp
0909862878,Richard Sanders,Fellsmúli 18,8998818,temp,0,temp
1811931544,John Kline,Fellsmúli 19,8998819,temp,0,temp
0409858797,Evelyn Pickhardt,Fellsmúli 20,8998820,temp,0,temp
3002688722,Stacey Henrickson,Fellsmúli 21,8998821,temp,0,temp
3003962187,Delores Whitfield,Fellsmúli 22,8998822,temp,0,temp
1311772221,Maribel Lucero,Fellsmúli 23,8998823,temp,0,temp
2509913418,Katherine Wernimont,Fellsmúli 24,8998824,temp,0,temp
1103647756,Wilma Horne,Fellsmúli 25,8998825,temp,0,temp
2807755841,Bernard Carr,Fellsmúli 26,8998826,temp,0,temp
0409907212,Sara Davis,Fellsmúli 27,8998827,temp,0,temp
1103912131,Robert Swope,Fellsmúli 28,8998828,temp,0,temp
2801645554,John Iversen,Fellsmúli 29,8998829,temp,0,temp
1501681497,Rhonda Forman,Fellsmúli 30,8998830,temp,0,temp
1811813379,Melissa Paquette,Fellsmúli 31,8998831,temp,0,temp
0505942924,Carlton Chan,Fellsmúli 32,8998832,temp,0,temp
1110732819,Arthur Karr,Fellsmúli 33,8998833,temp,0,temp
2602806942,Teresa Thruman,Fellsmúli 34,8998834,temp,0,temp
1107951952,Elizabeth Mcfadden,Fellsmúli 35,8998835,temp,0,temp
